0	1870
1	1871
0	1872
0	1873
0	1874
1	1875
0	1876
0	1877
0	1878
1	1879
0	1880
0	1881
0	1882
1	1883
0	1884
0	1885
0	1886
1	1887
0	1888
0	1889
0	1890
1	1891
0	1892
0	1893
1	1894
0	1895
NA	1896
NA	1897
NA	1898
NA	1899
NA	1900
NA	1901
0	1902
0	1903
0	1904
1	1905
1	1906
0	1907
0	1908
1	1909
0	1910
0	1911
1	1912
0	1913
0	1914
0	1915
1	1916
0	1917
1	1918
0	1919
0	1920
1	1921
1	1922
1	1923
0	1924
0	1925
1	1926
0	1927
0	1928
1	1929
1	1930
0	1931
0	1932
1	1933
1	1934
0	1935
0	1936
1	1937
0	1938
0	1939
0	1940
1	1941
0	1942
0	1943
1	1944
0	1945
0	1946
0	1947
1	1948
0	1949
0	1950
1	1951
1	1952
1	1953
0	1954
0	1955
1	1956
0	1957
0	1958
1	1959
0	1960
0	1961
1	1962
0	1963
0	1964
0	1965
1	1966
0	1967
0	1968
1	1969
1	1970
0	1971
0	1972
1	1973
1	1974
0	1975
0	1976
1	1977
1	1978
0	1979
1	1980
1	1981
1	1982
0	1983
1	1984
1	1985
0	1986
0	1987
1	1988
0	1989
0	1990
1	1991
0	1992
0       1993
1       1994
0       1995
0       1996
